Starting frame generation loop
Converter Running
Time:0.0, Sine:1.0 | Time:0.0, Rand:250.0
Time:0.001, Sine:0.9999802708625793 | Time:0.001, Rand:251.0
Time:0.002, Sine:0.9999210238456726 | Time:0.002, Rand:252.0
Time:0.003, Sine:0.9998223781585693 | Time:0.003, Rand:253.0
Time:0.004, Sine:0.99968421459198 | Time:0.004, Rand:254.0
Time:0.005, Sine:0.9995065331459045 | Time:0.005, Rand:255.0
Time:0.006, Sine:0.9992894530296326 | Time:0.006, Rand:256.0
Time:0.007, Sine:0.9990329146385193 | Time:0.007, Rand:257.0
Time:0.008, Sine:0.9987369775772095 | Time:0.008, Rand:258.0
Time:0.009, Sine:0.9984015226364136 | Time:0.009, Rand:259.0
Time:0.01, Sine:0.9980267286300659 | Time:0.01, Rand:260.0
Time:0.011, Sine:0.9976125359535217 | Time:0.011, Rand:261.0
Time:0.012, Sine:0.9971588850021362 | Time:0.012, Rand:262.0
Time:0.013, Sine:0.9966659545898438 | Time:0.013, Rand:263.0
Time:0.014, Sine:0.9961336255073547 | Time:0.014, Rand:264.0
Time:0.015, Sine:0.995561957359314 | Time:0.015, Rand:265.0
Time:0.016, Sine:0.9949510097503662 | Time:0.016, Rand:266.0
Time:0.017, Sine:0.9943007826805115 | Time:0.017, Rand:267.0
Time:0.018, Sine:0.9936113357543945 | Time:0.018, Rand:268.0
Time:0.019, Sine:0.9928826093673706 | Time:0.019, Rand:269.0
Time:0.02, Sine:0.9921147227287292 | Time:0.02, Rand:270.0
Time:0.021, Sine:0.9913076162338257 | Time:0.021, Rand:271.0
Time:0.022, Sine:0.9904614090919495 | Time:0.022, Rand:272.0
Time:0.023, Sine:0.9895761013031006 | Time:0.023, Rand:273.0
Time:0.024, Sine:0.9886517524719238 | Time:0.024, Rand:274.0
Time:0.025, Sine:0.9876883625984192 | Time:0.025, Rand:275.0
Time:0.026, Sine:0.9866859316825867 | Time:0.026, Rand:276.0
Time:0.027, Sine:0.9856445789337158 | Time:0.027, Rand:277.0
Time:0.028, Sine:0.9845643639564514 | Time:0.028, Rand:278.0
Time:0.029, Sine:0.9834452271461487 | Time:0.029, Rand:279.0
Time:0.03, Sine:0.9822872281074524 | Time:0.03, Rand:280.0
Time:0.031, Sine:0.9810905456542969 | Time:0.031, Rand:281.0
Time:0.032, Sine:0.9798550605773926 | Time:0.032, Rand:282.0
Time:0.033, Sine:0.978580892086029 | Time:0.033, Rand:283.0
Time:0.034, Sine:0.9772680997848511 | Time:0.034, Rand:284.0
Time:0.035, Sine:0.9759167432785034 | Time:0.035, Rand:285.0
